algorithm,sample_count,offered_requests_per_orbit,offered_tiles_per_orbit,delivered_tiles_per_orbit,deadline_miss_ratio,scheduling_time_p95_s,scheduling_time_total_s,helper_utilization,compute_load_balance,isl_traffic_bits_per_delivered_tile,energy_j_per_delivered_tile,offered_requests_per_orbit_std,offered_tiles_per_orbit_std,delivered_tiles_per_orbit_std,deadline_miss_ratio_std,scheduling_time_p95_s_std,scheduling_time_total_s_std,helper_utilization_std,compute_load_balance_std,isl_traffic_bits_per_delivered_tile_std,energy_j_per_delivered_tile_std
ORDI@requests=20,4,27.25,436.0,414.25,0.05048666036842646,8.613813825068064,386.07323036703747,0.027403655875360845,0.7578430117595825,140622579.06379673,1580.919388869481,1.7078251276599334,27.325202042558935,33.4330674632167,0.030409724087908208,2.483917933008458,115.7471683456746,0.0024420277171113476,0.08216796117545964,27482766.370376647,93.04842097023018
seco_adapted@requests=20,4,27.25,436.0,395.85,0.09268307669855153,39.496451134677045,2198.322255111416,0.026803730305179373,0.771259811306278,195757755.8006215,1651.5625605717385,1.7078251276599334,27.325202042558935,36.020503420505754,0.04936041064026888,16.03535174389769,881.1163116581857,0.002470799617226184,0.05742561004052201,18542749.9494091,115.45107072537897
full_replication@requests=20,4,27.25,436.0,349.1,0.20000649775844395,2.708945791819133,180.91075623582583,0.039663309674962365,0.6753662474087747,63829157.001123525,2011.9803721730368,1.7078251276599334,27.325202042558935,29.994888453423744,0.02612256615862616,0.9534493212720216,61.65469837985011,0.0029157306306698,0.03860344568040265,9527038.872725613,155.97923246075808
onboard_only@requests=20,4,27.25,436.0,197.1,0.5495683917576097,0.06366722704842687,3.7399504211498424,0.012297224356335835,0.3320337280371014,0.0,3078.2072081985957,1.7078251276599334,27.325202042558935,28.94799935516558,0.038488056282985426,0.05694898841098223,1.1712531599629412,0.0012553281721818727,0.040261493426448684,0.0,323.64164050921386
ORDI@requests=40,4,45.85000000000001,733.6000000000001,701.3,0.043455576105690424,14.29243942303583,878.412092042854,0.039530231614725485,0.846399878418388,142929854.77886137,1153.9078018822206,4.167733196834943,66.68373114935909,60.28565335135715,0.02070681141479403,2.1220948240787085,89.25038735233136,0.004031467410590921,0.04359413017547252,16078163.569004962,119.51772858392144
seco_adapted@requests=40,4,45.85000000000001,733.6000000000001,655.85,0.10554577299543003,69.40297009260394,5203.320597685175,0.03838245068026351,0.8492935516785679,198892978.18040684,1229.0683579226984,4.167733196834943,66.68373114935909,59.47803516144984,0.028665565008817732,17.145482547883848,2250.4369421529004,0.004295000047631591,0.03367689322678895,14086610.843590094,148.55063247879923
full_replication@requests=40,4,45.85000000000001,733.6000000000001,606.95,0.1726586494359433,4.035320839611813,366.427512684837,0.0626376220754762,0.7631509181346503,72632478.81551951,1472.4675609929545,4.167733196834943,66.68373114935909,57.54913842390109,0.02044571580602511,0.7080356712823453,32.735688879552725,0.004733978601320769,0.047396375768782466,7640884.511367495,154.24345603997443
onboard_only@requests=40,4,45.85000000000001,733.6000000000001,357.25,0.5138259375431117,0.1595848152646795,8.55929711589124,0.019784101329018068,0.475764130608592,0.0,2035.491781724716,4.167733196834943,66.68373114935909,43.34708756075777,0.01976931670428879,0.012835544475987103,2.2034217386685397,0.0021482985372166716,0.04672399893326649,0.0,228.1310161042265
ORDI@requests=60,4,65.69999999999999,1051.1999999999998,1013.4,0.036246104156135404,23.602052895817906,1487.1580802268581,0.05128457761047507,0.869285903418483,140655818.9359309,923.9778937585138,7.378346698278687,118.05354717245899,117.66018867909399,0.004535376375251696,6.608470972462667,283.93896073973906,0.009941825150372684,0.06221178744428944,14601251.383726217,129.78837839845497
seco_adapted@requests=60,4,65.69999999999999,1051.1999999999998,934.25,0.1120368665444939,113.13046225206926,8261.633825010504,0.049276798964543386,0.8647570931827874,193361454.6436395,996.7331078726845,7.378346698278687,118.05354717245899,117.60775201207332,0.01892933625433789,27.850062186706573,1135.7534639883104,0.009595384361555413,0.04329553414394159,30349009.238104247,148.16958662461917
full_replication@requests=60,4,65.69999999999999,1051.1999999999998,882.6500000000001,0.15914132129630637,6.8851248763967305,612.9420364933321,0.08246856181858515,0.8427113033306863,72468573.41389735,1190.351523831743,7.378346698278687,118.05354717245899,84.58737100379304,0.015854118836197702,0.94841041317781,51.86935467884992,0.014677082380680138,0.038282516157238176,8880043.1692103,136.8453789297187
onboard_only@requests=60,4,65.69999999999999,1051.1999999999998,539.65,0.4876385056254321,0.17109172767959535,15.479873560019769,0.02704136023599077,0.5411778025647084,0.0,1541.7167723741843,7.378346698278687,118.05354717245899,77.22441323830178,0.024241083070110667,0.05185545356487092,1.96904397491163,0.004912293012497898,0.051682340092855675,0.0,256.26351519227563
ORDI@requests=80,4,84.35,1349.6,1280.3,0.05078221169583971,29.51828991714865,2230.539371066494,0.061176882647704364,0.9015928614283045,133196526.34666455,798.0038570043321,4.736735866255016,75.78777386008025,55.85158905528122,0.017151717082112758,6.379000081882241,218.57044090047486,0.008451179850393918,0.05664025142289911,14019474.823065305,65.30626442955565
seco_adapted@requests=80,4,84.35,1349.6,1168.0,0.13403145758729407,115.40080289926846,10158.79039069172,0.05849722065627336,0.8954502355569599,176190802.26928273,865.0380586616004,4.736735866255016,75.78777386008025,56.432850952850735,0.023047727156666014,23.983572529061153,678.5602258364153,0.008986799574834484,0.04274197185520811,21721317.266258597,77.64668900984985
full_replication@requests=80,4,84.35,1349.6,1084.0,0.19604233025730328,8.346380083239637,838.3517637964105,0.10230457173743607,0.884296080506312,74225454.93702552,1056.0284375999365,4.736735866255016,75.78777386008025,47.64871456818108,0.02834346975321659,1.7474984705805325,57.79371120123957,0.011736513745671131,0.03606567965012135,7737229.1357054645,54.36968755647305
onboard_only@requests=80,4,84.35,1349.6,677.25,0.4972722172860769,0.3694112094817683,25.410637172986753,0.03240362295675253,0.6132082927272722,0.0,1318.9131350020234,4.736735866255016,75.78777386008025,24.153605665959418,0.02711833427051912,0.07858525063882763,3.4904013500879545,0.00473712474506377,0.04261672801584708,0.0,147.72480061259947
